 Seconds	 Resist. (Ohm)
   2207 	10029.1228 
   2209 	10029.1223 
   2211 	10029.1111 
   2214 	10029.0996 
   2216 	10029.0944 
   2218 	10029.0823 
   2220 	10029.079 
   2222 	10029.0711 
   2224 	10029.0495 
   2226 	10029.0478 
   2228 	10029.043 
   2231 	10029.0462 
   2233 	10029.0297 
   2235 	10029.0193 
   2237 	10029.023 
   2239 	10029.0043 
   2241 	10028.9904 
   2243 	10028.9794 
   2245 	10028.9839 
   2248 	10028.9695 
   2250 	10028.9547 
   2252 	10028.9571 
   2254 	10028.9503 
   2256 	10028.9393 
   2258 	10028.9485 
   2260 	10028.9335 
   2262 	10028.9102 
   2265 	10028.9028 
   2267 	10028.8919 
   2269 	10028.8812 
   2271 	10028.8776 
   2273 	10028.8828 
   2275 	10028.8688 
   2277 	10028.8643 
   2279 	10028.847 
   2282 	10028.8362 
   2284 	10028.8361 
   2286 	10028.8242 
   2288 	10028.8172 
   2290 	10028.7922 
   2292 	10028.8034 
   2294 	10028.781 
   2296 	10028.7769 
   2299 	10028.777 
   2301 	10028.7514 
   2303 	10028.7516 
   2305 	10028.7438 
   2307 	10028.7227 
   2309 	10028.7124 
   2311 	10028.7179 
   2313 	10028.7061 
   2316 	10028.6928 
   2318 	10028.6835 
   2320 	10028.678 
   2322 	10028.672 
   2324 	10028.6498 
   2326 	10028.6678 
   2328 	10028.6538 
   2330 	10028.6405 
   2333 	10028.6355 
   2335 	10028.6261 
   2337 	10028.6193 
   2339 	10028.6057 
   2341 	10028.607 
   2343 	10028.5934 
   2345 	10028.5834 
   2347 	10028.584 
   2350 	10028.5762 
   2352 	10028.5655 
   2354 	10028.5507 
   2356 	10028.5554 
   2358 	10028.5375 
   2360 	10028.5213 
   2362 	10028.526 
   2364 	10028.5246 
   2367 	10028.4881 
   2369 	10028.495 
   2371 	10028.4898 
   2373 	10028.4902 
   2375 	10028.478 
   2377 	10028.4611 
   2379 	10028.4543 
   2381 	10028.4497 
   2384 	10028.4458 
   2386 	10028.4253 
   2388 	10028.4261 
   2390 	10028.4208 
   2392 	10028.3999 
   2394 	10028.4031 
   2396 	10028.391 
   2398 	10028.3779 
   2401 	10028.3827 
   2403 	10028.3686 
   2405 	10028.3567 
   2407 	10028.3627 
   2409 	10028.3386 
